PK,TimeStamp,Level,Parent,IsBusiness,Tag,Application,Message,Ticks,DataIn,DataInType,DataOut,DataOutType,TerminalID,TerminalIP,FKUser,ItemID,ItemType,FKExtern,
0,11-01-21 16:55:29,Log,0,True,"","","Unitech - EA502 / Android 7.1.1 ",0,"","","","","","","","","",-1,
0,11-01-21 16:55:29,Log,0,True,"","","MainViewModel()",0,"","","","","","","","","",-1,
0,11-01-21 16:55:29,Log,0,True,"MEM","","6640392 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 16:55:30,Log,0,True,"AuditTrail","","Clean",0,"","","","","","","","","",-1,
0,11-01-21 16:55:30,Log,0,True,"","","App.OnStart()",0,"","","","","","","","","",-1,
0,11-01-21 16:55:32,Log,0,False,"","","Load Interventions ...",0,"","","","","","","","","",-1,
0,11-01-21 16:55:34,Log,0,False,"","","Load Documents ...",0,"","","","","","","","","",-1,
0,11-01-21 16:55:34,Log,0,False,"","","Load Stores ...",0,"","","","","","","","","",-1,
0,11-01-21 16:55:35,Log,0,True,"MENU","","interventions",0,"","","","","","","","","",-1,
0,11-01-21 16:55:35,Log,0,True,"","","ctor StoreCheck.Pages.StoreListPage",0,"","","","","","","","","",-1,
0,11-01-21 16:55:36,Log,0,False,"","","Load Articles ...",0,"","","","","","","","","",-1,
0,11-01-21 16:55:36,Log,0,False,"","","Load Families ...",0,"","","","","","","","","",-1,
0,11-01-21 16:55:36,Log,0,False,"","","",0,"","","","","","","","","",-1,
0,11-01-21 16:55:40,Log,0,True,"DATA","","SelectedStore PK=1304 (Magasin_CE)",0,"","","","","","","","","",-1,
0,11-01-21 16:55:40,Log,0,True,"DATA","","SelectedIntervention PK=1036 (1036 Inconnu 1304)",0,"","","","","","","","","",-1,
0,11-01-21 16:55:41,Log,0,True,"","","ctor StoreCheck.Pages.StorePage",0,"","","","","","","","","",-1,
0,11-01-21 16:55:43,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
0,11-01-21 16:55:43,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,11-01-21 16:55:44,Log,0,True,"MEM","","46647128 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 16:55:45,Log,0,True,"MEM","","46360704 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 16:55:47,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 16:55:47,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:02:39,Log,0,True,"MEM","","51837560 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:02:42,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
0,11-01-21 17:02:43,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,11-01-21 17:02:44,Log,0,True,"MEM","","52998448 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:02:45,Log,0,True,"MEM","","52651264 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
